date,season,year,month,holiday,weekday,workingday,weather,casual,registered,count,day_type
2011-02-17,Spring,2011,Feb,0,Thu,1,Clear/Partly Cloudy,259,2216,2475,Working Day
2011-02-18,Spring,2011,Feb,0,Fri,1,Clear/Partly Cloudy,579,2348,2927,Working Day
2011-02-19,Spring,2011,Feb,0,Sat,0,Clear/Partly Cloudy,532,1103,1635,Weekend
2011-02-20,Spring,2011,Feb,0,Sun,0,Clear/Partly Cloudy,639,1173,1812,Weekend
2011-02-21,Spring,2011,Feb,1,Mon,0,Misty/Cloudy,195,912,1107,Holiday
2011-02-22,Spring,2011,Feb,0,Tue,1,Clear/Partly Cloudy,74,1376,1450,Working Day
2011-02-23,Spring,2011,Feb,0,Wed,1,Clear/Partly Cloudy,139,1778,1917,Working Day
2011-02-24,Spring,2011,Feb,0,Thu,1,Misty/Cloudy,100,1707,1807,Working Day
2011-02-25,Spring,2011,Feb,0,Fri,1,Misty/Cloudy,120,1341,1461,Working Day
2011-02-26,Spring,2011,Feb,0,Sat,0,Clear/Partly Cloudy,424,1545,1969,Weekend
2011-02-27,Spring,2011,Feb,0,Sun,0,Clear/Partly Cloudy,694,1708,2402,Weekend
2011-02-28,Spring,2011,Feb,0,Mon,1,Misty/Cloudy,81,1365,1446,Working Day
2011-03-01,Spring,2011,Mar,0,Tue,1,Clear/Partly Cloudy,137,1714,1851,Working Day
2011-03-02,Spring,2011,Mar,0,Wed,1,Clear/Partly Cloudy,231,1903,2134,Working Day
2011-03-03,Spring,2011,Mar,0,Thu,1,Clear/Partly Cloudy,123,1562,1685,Working Day
2011-03-04,Spring,2011,Mar,0,Fri,1,Misty/Cloudy,214,1730,1944,Working Day
2011-03-05,Spring,2011,Mar,0,Sat,0,Misty/Cloudy,640,1437,2077,Weekend
2011-03-06,Spring,2011,Mar,0,Sun,0,Misty/Cloudy,114,491,605,Weekend
2011-03-07,Spring,2011,Mar,0,Mon,1,Clear/Partly Cloudy,244,1628,1872,Working Day
2011-03-08,Spring,2011,Mar,0,Tue,1,Clear/Partly Cloudy,316,1817,2133,Working Day
2011-03-09,Spring,2011,Mar,0,Wed,1,Misty/Cloudy,191,1700,1891,Working Day
2011-03-10,Spring,2011,Mar,0,Thu,1,Light Rain/Snow,46,577,623,Working Day
2011-03-11,Spring,2011,Mar,0,Fri,1,Misty/Cloudy,247,1730,1977,Working Day
2011-03-12,Spring,2011,Mar,0,Sat,0,Clear/Partly Cloudy,724,1408,2132,Weekend
2011-03-13,Spring,2011,Mar,0,Sun,0,Clear/Partly Cloudy,982,1435,2417,Weekend
2011-03-14,Spring,2011,Mar,0,Mon,1,Clear/Partly Cloudy,359,1687,2046,Working Day
2011-03-15,Spring,2011,Mar,0,Tue,1,Misty/Cloudy,289,1767,2056,Working Day
2011-03-16,Spring,2011,Mar,0,Wed,1,Misty/Cloudy,321,1871,2192,Working Day
2011-03-17,Spring,2011,Mar,0,Thu,1,Clear/Partly Cloudy,424,2320,2744,Working Day
2011-03-18,Spring,2011,Mar,0,Fri,1,Clear/Partly Cloudy,884,2355,3239,Working Day
2011-03-19,Spring,2011,Mar,0,Sat,0,Clear/Partly Cloudy,1424,1693,3117,Weekend
2011-03-20,Spring,2011,Mar,0,Sun,0,Clear/Partly Cloudy,1047,1424,2471,Weekend
2011-03-21,Summer,2011,Mar,0,Mon,1,Misty/Cloudy,401,1676,2077,Working Day
2011-03-22,Summer,2011,Mar,0,Tue,1,Clear/Partly Cloudy,460,2243,2703,Working Day
2011-03-23,Summer,2011,Mar,0,Wed,1,Misty/Cloudy,203,1918,2121,Working Day
2011-03-24,Summer,2011,Mar,0,Thu,1,Misty/Cloudy,166,1699,1865,Working Day
2011-03-25,Summer,2011,Mar,0,Fri,1,Clear/Partly Cloudy,300,1910,2210,Working Day
2011-03-26,Summer,2011,Mar,0,Sat,0,Clear/Partly Cloudy,981,1515,2496,Weekend
2011-03-27,Summer,2011,Mar,0,Sun,0,Misty/Cloudy,472,1221,1693,Weekend
2011-03-28,Summer,2011,Mar,0,Mon,1,Clear/Partly Cloudy,222,1806,2028,Working Day
2011-03-29,Summer,2011,Mar,0,Tue,1,Clear/Partly Cloudy,317,2108,2425,Working Day
2011-03-30,Summer,2011,Mar,0,Wed,1,Misty/Cloudy,168,1368,1536,Working Day
2011-03-31,Summer,2011,Mar,0,Thu,1,Light Rain/Snow,179,1506,1685,Working Day
2011-04-01,Summer,2011,Apr,0,Fri,1,Misty/Cloudy,307,1920,2227,Working Day
2011-04-02,Summer,2011,Apr,0,Sat,0,Misty/Cloudy,898,1354,2252,Weekend
2011-04-03,Summer,2011,Apr,0,Sun,0,Clear/Partly Cloudy,1651,1598,3249,Weekend
2011-04-04,Summer,2011,Apr,0,Mon,1,Clear/Partly Cloudy,734,2381,3115,Working Day
2011-04-05,Summer,2011,Apr,0,Tue,1,Misty/Cloudy,167,1628,1795,Working Day
2011-04-06,Summer,2011,Apr,0,Wed,1,Clear/Partly Cloudy,413,2395,2808,Working Day
2011-04-07,Summer,2011,Apr,0,Thu,1,Clear/Partly Cloudy,571,2570,3141,Working Day
2011-04-08,Summer,2011,Apr,0,Fri,1,Misty/Cloudy,172,1299,1471,Working Day
2011-04-09,Summer,2011,Apr,0,Sat,0,Misty/Cloudy,879,1576,2455,Weekend
2011-04-10,Summer,2011,Apr,0,Sun,0,Misty/Cloudy,1188,1707,2895,Weekend
2011-04-11,Summer,2011,Apr,0,Mon,1,Misty/Cloudy,855,2493,3348,Working Day
2011-04-12,Summer,2011,Apr,0,Tue,1,Misty/Cloudy,257,1777,2034,Working Day
2011-04-13,Summer,2011,Apr,0,Wed,1,Misty/Cloudy,209,1953,2162,Working Day
2011-04-14,Summer,2011,Apr,0,Thu,1,Clear/Partly Cloudy,529,2738,3267,Working Day
2011-04-15,Summer,2011,Apr,1,Fri,0,Clear/Partly Cloudy,642,2484,3126,Holiday
2011-04-16,Summer,2011,Apr,0,Sat,0,Light Rain/Snow,121,674,795,Weekend
2011-04-17,Summer,2011,Apr,0,Sun,0,Clear/Partly Cloudy,1558,2186,3744,Weekend
2011-04-18,Summer,2011,Apr,0,Mon,1,Clear/Partly Cloudy,669,2760,3429,Working Day
2011-04-19,Summer,2011,Apr,0,Tue,1,Misty/Cloudy,409,2795,3204,Working Day
2011-04-20,Summer,2011,Apr,0,Wed,1,Clear/Partly Cloudy,613,3331,3944,Working Day
2011-04-21,Summer,2011,Apr,0,Thu,1,Clear/Partly Cloudy,745,3444,4189,Working Day
2011-04-22,Summer,2011,Apr,0,Fri,1,Misty/Cloudy,177,1506,1683,Working Day
2011-04-23,Summer,2011,Apr,0,Sat,0,Misty/Cloudy,1462,2574,4036,Weekend
2011-04-24,Summer,2011,Apr,0,Sun,0,Misty/Cloudy,1710,2481,4191,Weekend
2011-04-25,Summer,2011,Apr,0,Mon,1,Clear/Partly Cloudy,773,3300,4073,Working Day
2011-04-26,Summer,2011,Apr,0,Tue,1,Clear/Partly Cloudy,678,3722,4400,Working Day
2011-04-27,Summer,2011,Apr,0,Wed,1,Misty/Cloudy,547,3325,3872,Working Day
2011-04-28,Summer,2011,Apr,0,Thu,1,Misty/Cloudy,569,3489,4058,Working Day
2011-04-29,Summer,2011,Apr,0,Fri,1,Clear/Partly Cloudy,878,3717,4595,Working Day
2011-04-30,Summer,2011,Apr,0,Sat,0,Clear/Partly Cloudy,1965,3347,5312,Weekend
2011-05-01,Summer,2011,May,0,Sun,0,Misty/Cloudy,1138,2213,3351,Weekend
2011-05-02,Summer,2011,May,0,Mon,1,Misty/Cloudy,847,3554,4401,Working Day
2011-05-03,Summer,2011,May,0,Tue,1,Misty/Cloudy,603,3848,4451,Working Day
2011-05-04,Summer,2011,May,0,Wed,1,Misty/Cloudy,255,2378,2633,Working Day
2011-05-05,Summer,2011,May,0,Thu,1,Clear/Partly Cloudy,614,3819,4433,Working Day
2011-05-06,Summer,2011,May,0,Fri,1,Clear/Partly Cloudy,894,3714,4608,Working Day
2011-05-07,Summer,2011,May,0,Sat,0,Clear/Partly Cloudy,1612,3102,4714,Weekend
2011-05-08,Summer,2011,May,0,Sun,0,Clear/Partly Cloudy,1401,2932,4333,Weekend
2011-05-09,Summer,2011,May,0,Mon,1,Clear/Partly Cloudy,664,3698,4362,Working Day
2011-05-10,Summer,2011,May,0,Tue,1,Clear/Partly Cloudy,694,4109,4803,Working Day
2011-05-11,Summer,2011,May,0,Wed,1,Clear/Partly Cloudy,550,3632,4182,Working Day
2011-05-12,Summer,2011,May,0,Thu,1,Clear/Partly Cloudy,695,4169,4864,Working Day
2011-05-13,Summer,2011,May,0,Fri,1,Misty/Cloudy,692,3413,4105,Working Day
2011-05-14,Summer,2011,May,0,Sat,0,Misty/Cloudy,902,2507,3409,Weekend
2011-05-15,Summer,2011,May,0,Sun,0,Misty/Cloudy,1582,2971,4553,Weekend
2011-05-16,Summer,2011,May,0,Mon,1,Clear/Partly Cloudy,773,3185,3958,Working Day
2011-05-17,Summer,2011,May,0,Tue,1,Misty/Cloudy,678,3445,4123,Working Day
2011-05-18,Summer,2011,May,0,Wed,1,Misty/Cloudy,536,3319,3855,Working Day
2011-05-19,Summer,2011,May,0,Thu,1,Misty/Cloudy,735,3840,4575,Working Day
2011-05-20,Summer,2011,May,0,Fri,1,Clear/Partly Cloudy,909,4008,4917,Working Day
2011-05-21,Summer,2011,May,0,Sat,0,Clear/Partly Cloudy,2258,3547,5805,Weekend
2011-05-22,Summer,2011,May,0,Sun,0,Clear/Partly Cloudy,1576,3084,4660,Weekend
2011-05-23,Summer,2011,May,0,Mon,1,Misty/Cloudy,836,3438,4274,Working Day
2011-05-24,Summer,2011,May,0,Tue,1,Misty/Cloudy,659,3833,4492,Working Day
2011-05-25,Summer,2011,May,0,Wed,1,Clear/Partly Cloudy,740,4238,4978,Working Day
2011-05-26,Summer,2011,May,0,Thu,1,Clear/Partly Cloudy,758,3919,4677,Working Day
2011-05-27,Summer,2011,May,0,Fri,1,Clear/Partly Cloudy,871,3808,4679,Working Day
2011-05-28,Summer,2011,May,0,Sat,0,Clear/Partly Cloudy,2001,2757,4758,Weekend
2011-05-29,Summer,2011,May,0,Sun,0,Clear/Partly Cloudy,2355,2433,4788,Weekend
2011-05-30,Summer,2011,May,1,Mon,0,Clear/Partly Cloudy,1549,2549,4098,Holiday
2011-05-31,Summer,2011,May,0,Tue,1,Clear/Partly Cloudy,673,3309,3982,Working Day
2011-06-01,Summer,2011,Jun,0,Wed,1,Misty/Cloudy,513,3461,3974,Working Day
2011-06-02,Summer,2011,Jun,0,Thu,1,Clear/Partly Cloudy,736,4232,4968,Working Day
2011-06-03,Summer,2011,Jun,0,Fri,1,Clear/Partly Cloudy,898,4414,5312,Working Day
2011-06-04,Summer,2011,Jun,0,Sat,0,Clear/Partly Cloudy,1869,3473,5342,Weekend
2011-06-05,Summer,2011,Jun,0,Sun,0,Misty/Cloudy,1685,3221,4906,Weekend
2011-06-06,Summer,2011,Jun,0,Mon,1,Clear/Partly Cloudy,673,3875,4548,Working Day
2011-06-07,Summer,2011,Jun,0,Tue,1,Clear/Partly Cloudy,763,4070,4833,Working Day
2011-06-08,Summer,2011,Jun,0,Wed,1,Clear/Partly Cloudy,676,3725,4401,Working Day
2011-06-09,Summer,2011,Jun,0,Thu,1,Misty/Cloudy,563,3352,3915,Working Day
2011-06-10,Summer,2011,Jun,0,Fri,1,Clear/Partly Cloudy,815,3771,4586,Working Day
2011-06-11,Summer,2011,Jun,0,Sat,0,Clear/Partly Cloudy,1729,3237,4966,Weekend
2011-06-12,Summer,2011,Jun,0,Sun,0,Clear/Partly Cloudy,1467,2993,4460,Weekend
2011-06-13,Summer,2011,Jun,0,Mon,1,Clear/Partly Cloudy,863,4157,5020,Working Day
2011-06-14,Summer,2011,Jun,0,Tue,1,Clear/Partly Cloudy,727,4164,4891,Working Day
2011-06-15,Summer,2011,Jun,0,Wed,1,Clear/Partly Cloudy,769,4411,5180,Working Day
2011-06-16,Summer,2011,Jun,0,Thu,1,Misty/Cloudy,545,3222,3767,Working Day
2011-06-17,Summer,2011,Jun,0,Fri,1,Clear/Partly Cloudy,863,3981,4844,Working Day
2011-06-18,Summer,2011,Jun,0,Sat,0,Clear/Partly Cloudy,1807,3312,5119,Weekend
2011-06-19,Summer,2011,Jun,0,Sun,0,Misty/Cloudy,1639,3105,4744,Weekend
2011-06-20,Summer,2011,Jun,0,Mon,1,Misty/Cloudy,699,3311,4010,Working Day
2011-06-21,Fall,2011,Jun,0,Tue,1,Misty/Cloudy,774,4061,4835,Working Day
2011-06-22,Fall,2011,Jun,0,Wed,1,Clear/Partly Cloudy,661,3846,4507,Working Day
2011-06-23,Fall,2011,Jun,0,Thu,1,Misty/Cloudy,746,4044,4790,Working Day
2011-06-24,Fall,2011,Jun,0,Fri,1,Clear/Partly Cloudy,969,4022,4991,Working Day
2011-06-25,Fall,2011,Jun,0,Sat,0,Clear/Partly Cloudy,1782,3420,5202,Weekend
2011-06-26,Fall,2011,Jun,0,Sun,0,Clear/Partly Cloudy,1920,3385,5305,Weekend
2011-06-27,Fall,2011,Jun,0,Mon,1,Misty/Cloudy,854,3854,4708,Working Day
2011-06-28,Fall,2011,Jun,0,Tue,1,Clear/Partly Cloudy,732,3916,4648,Working Day
2011-06-29,Fall,2011,Jun,0,Wed,1,Clear/Partly Cloudy,848,4377,5225,Working Day
2011-06-30,Fall,2011,Jun,0,Thu,1,Clear/Partly Cloudy,1027,4488,5515,Working Day
2011-07-01,Fall,2011,Jul,0,Fri,1,Clear/Partly Cloudy,1246,4116,5362,Working Day
2011-07-02,Fall,2011,Jul,0,Sat,0,Clear/Partly Cloudy,2204,2915,5119,Weekend
2011-07-03,Fall,2011,Jul,0,Sun,0,Misty/Cloudy,2282,2367,4649,Weekend
2011-07-04,Fall,2011,Jul,1,Mon,0,Misty/Cloudy,3065,2978,6043,Holiday
2011-07-05,Fall,2011,Jul,0,Tue,1,Clear/Partly Cloudy,1031,3634,4665,Working Day
2011-07-06,Fall,2011,Jul,0,Wed,1,Clear/Partly Cloudy,784,3845,4629,Working Day
2011-07-07,Fall,2011,Jul,0,Thu,1,Clear/Partly Cloudy,754,3838,4592,Working Day
2011-07-08,Fall,2011,Jul,0,Fri,1,Misty/Cloudy,692,3348,4040,Working Day
2011-07-09,Fall,2011,Jul,0,Sat,0,Clear/Partly Cloudy,1988,3348,5336,Weekend
2011-07-10,Fall,2011,Jul,0,Sun,0,Clear/Partly Cloudy,1743,3138,4881,Weekend
2011-07-11,Fall,2011,Jul,0,Mon,1,Clear/Partly Cloudy,723,3363,4086,Working Day
2011-07-12,Fall,2011,Jul,0,Tue,1,Clear/Partly Cloudy,662,3596,4258,Working Day
2011-07-13,Fall,2011,Jul,0,Wed,1,Clear/Partly Cloudy,748,3594,4342,Working Day
2011-07-14,Fall,2011,Jul,0,Thu,1,Clear/Partly Cloudy,888,4196,5084,Working Day
2011-07-15,Fall,2011,Jul,0,Fri,1,Clear/Partly Cloudy,1318,4220,5538,Working Day
2011-07-16,Fall,2011,Jul,0,Sat,0,Clear/Partly Cloudy,2418,3505,5923,Weekend
2011-07-17,Fall,2011,Jul,0,Sun,0,Clear/Partly Cloudy,2006,3296,5302,Weekend
2011-07-18,Fall,2011,Jul,0,Mon,1,Clear/Partly Cloudy,841,3617,4458,Working Day
2011-07-19,Fall,2011,Jul,0,Tue,1,Clear/Partly Cloudy,752,3789,4541,Working Day
2011-07-20,Fall,2011,Jul,0,Wed,1,Clear/Partly Cloudy,644,3688,4332,Working Day
2011-07-21,Fall,2011,Jul,0,Thu,1,Misty/Cloudy,632,3152,3784,Working Day
2011-07-22,Fall,2011,Jul,0,Fri,1,Clear/Partly Cloudy,562,2825,3387,Working Day
2011-07-23,Fall,2011,Jul,0,Sat,0,Clear/Partly Cloudy,987,2298,3285,Weekend
2011-07-24,Fall,2011,Jul,0,Sun,0,Clear/Partly Cloudy,1050,2556,3606,Weekend
2011-07-25,Fall,2011,Jul,0,Mon,1,Clear/Partly Cloudy,568,3272,3840,Working Day
2011-07-26,Fall,2011,Jul,0,Tue,1,Clear/Partly Cloudy,750,3840,4590,Working Day
2011-07-27,Fall,2011,Jul,0,Wed,1,Clear/Partly Cloudy,755,3901,4656,Working Day
2011-07-28,Fall,2011,Jul,0,Thu,1,Clear/Partly Cloudy,606,3784,4390,Working Day
2011-07-29,Fall,2011,Jul,0,Fri,1,Clear/Partly Cloudy,670,3176,3846,Working Day
2011-07-30,Fall,2011,Jul,0,Sat,0,Clear/Partly Cloudy,1559,2916,4475,Weekend
2011-07-31,Fall,2011,Jul,0,Sun,0,Clear/Partly Cloudy,1524,2778,4302,Weekend
2011-08-01,Fall,2011,Aug,0,Mon,1,Clear/Partly Cloudy,729,3537,4266,Working Day
2011-08-02,Fall,2011,Aug,0,Tue,1,Clear/Partly Cloudy,801,4044,4845,Working Day
2011-08-03,Fall,2011,Aug,0,Wed,1,Misty/Cloudy,467,3107,3574,Working Day
2011-08-04,Fall,2011,Aug,0,Thu,1,Misty/Cloudy,799,3777,4576,Working Day
2011-08-05,Fall,2011,Aug,0,Fri,1,Clear/Partly Cloudy,1023,3843,4866,Working Day
2011-08-06,Fall,2011,Aug,0,Sat,0,Misty/Cloudy,1521,2773,4294,Weekend
2011-08-07,Fall,2011,Aug,0,Sun,0,Clear/Partly Cloudy,1298,2487,3785,Weekend
2011-08-08,Fall,2011,Aug,0,Mon,1,Clear/Partly Cloudy,846,3480,4326,Working Day
2011-08-09,Fall,2011,Aug,0,Tue,1,Clear/Partly Cloudy,907,3695,4602,Working Day
2011-08-10,Fall,2011,Aug,0,Wed,1,Clear/Partly Cloudy,884,3896,4780,Working Day
2011-08-11,Fall,2011,Aug,0,Thu,1,Clear/Partly Cloudy,812,3980,4792,Working Day
2011-08-12,Fall,2011,Aug,0,Fri,1,Clear/Partly Cloudy,1051,3854,4905,Working Day
2011-08-13,Fall,2011,Aug,0,Sat,0,Misty/Cloudy,1504,2646,4150,Weekend
2011-08-14,Fall,2011,Aug,0,Sun,0,Misty/Cloudy,1338,2482,3820,Weekend
2011-08-15,Fall,2011,Aug,0,Mon,1,Clear/Partly Cloudy,775,3563,4338,Working Day
2011-08-16,Fall,2011,Aug,0,Tue,1,Clear/Partly Cloudy,721,4004,4725,Working Day
2011-08-17,Fall,2011,Aug,0,Wed,1,Clear/Partly Cloudy,668,4026,4694,Working Day
2011-08-18,Fall,2011,Aug,0,Thu,1,Clear/Partly Cloudy,639,3166,3805,Working Day
2011-08-19,Fall,2011,Aug,0,Fri,1,Misty/Cloudy,797,3356,4153,Working Day
2011-08-20,Fall,2011,Aug,0,Sat,0,Clear/Partly Cloudy,1914,3277,5191,Weekend
2011-08-21,Fall,2011,Aug,0,Sun,0,Clear/Partly Cloudy,1249,2624,3873,Weekend
2011-08-22,Fall,2011,Aug,0,Mon,1,Clear/Partly Cloudy,833,3925,4758,Working Day
2011-08-23,Fall,2011,Aug,0,Tue,1,Clear/Partly Cloudy,1281,4614,5895,Working Day
2011-08-24,Fall,2011,Aug,0,Wed,1,Clear/Partly Cloudy,949,4181,5130,Working Day
2011-08-25,Fall,2011,Aug,0,Thu,1,Misty/Cloudy,435,3107,3542,Working Day
2011-08-26,Fall,2011,Aug,0,Fri,1,Clear/Partly Cloudy,768,3893,4661,Working Day
2011-08-27,Fall,2011,Aug,0,Sat,0,Misty/Cloudy,226,889,1115,Weekend
2011-08-28,Fall,2011,Aug,0,Sun,0,Clear/Partly Cloudy,1415,2919,4334,Weekend
2011-08-29,Fall,2011,Aug,0,Mon,1,Clear/Partly Cloudy,729,3905,4634,Working Day
2011-08-30,Fall,2011,Aug,0,Tue,1,Clear/Partly Cloudy,775,4429,5204,Working Day
2011-08-31,Fall,2011,Aug,0,Wed,1,Clear/Partly Cloudy,688,4370,5058,Working Day
2011-09-01,Fall,2011,Sep,0,Thu,1,Clear/Partly Cloudy,783,4332,5115,Working Day
2011-09-02,Fall,2011,Sep,0,Fri,1,Misty/Cloudy,875,3852,4727,Working Day
2011-09-03,Fall,2011,Sep,0,Sat,0,Clear/Partly Cloudy,1935,2549,4484,Weekend
2011-09-04,Fall,2011,Sep,0,Sun,0,Clear/Partly Cloudy,2521,2419,4940,Weekend
2011-09-05,Fall,2011,Sep,1,Mon,0,Misty/Cloudy,1236,2115,3351,Holiday
2011-09-06,Fall,2011,Sep,0,Tue,1,Light Rain/Snow,204,2506,2710,Working Day
2011-09-07,Fall,2011,Sep,0,Wed,1,Light Rain/Snow,118,1878,1996,Working Day
2011-09-08,Fall,2011,Sep,0,Thu,1,Light Rain/Snow,153,1689,1842,Working Day
2011-09-09,Fall,2011,Sep,0,Fri,1,Misty/Cloudy,417,3127,3544,Working Day
2011-09-10,Fall,2011,Sep,0,Sat,0,Clear/Partly Cloudy,1750,3595,5345,Weekend
2011-09-11,Fall,2011,Sep,0,Sun,0,Clear/Partly Cloudy,1633,3413,5046,Weekend
2011-09-12,Fall,2011,Sep,0,Mon,1,Clear/Partly Cloudy,690,4023,4713,Working Day
2011-09-13,Fall,2011,Sep,0,Tue,1,Clear/Partly Cloudy,701,4062,4763,Working Day
2011-09-14,Fall,2011,Sep,0,Wed,1,Clear/Partly Cloudy,647,4138,4785,Working Day
2011-09-15,Fall,2011,Sep,0,Thu,1,Misty/Cloudy,428,3231,3659,Working Day
2011-09-16,Fall,2011,Sep,0,Fri,1,Misty/Cloudy,742,4018,4760,Working Day
2011-09-17,Fall,2011,Sep,0,Sat,0,Misty/Cloudy,1434,3077,4511,Weekend
2011-09-18,Fall,2011,Sep,0,Sun,0,Clear/Partly Cloudy,1353,2921,4274,Weekend
2011-09-19,Fall,2011,Sep,0,Mon,1,Misty/Cloudy,691,3848,4539,Working Day
2011-09-20,Fall,2011,Sep,0,Tue,1,Misty/Cloudy,438,3203,3641,Working Day
2011-09-21,Fall,2011,Sep,0,Wed,1,Misty/Cloudy,539,3813,4352,Working Day
2011-09-22,Fall,2011,Sep,0,Thu,1,Misty/Cloudy,555,4240,4795,Working Day
2011-09-23,Winter,2011,Sep,0,Fri,1,Misty/Cloudy,258,2137,2395,Working Day
2011-09-24,Winter,2011,Sep,0,Sat,0,Misty/Cloudy,1776,3647,5423,Weekend
2011-09-25,Winter,2011,Sep,0,Sun,0,Misty/Cloudy,1544,3466,5010,Weekend
2011-09-26,Winter,2011,Sep,0,Mon,1,Misty/Cloudy,684,3946,4630,Working Day
2011-09-27,Winter,2011,Sep,0,Tue,1,Misty/Cloudy,477,3643,4120,Working Day
2011-09-28,Winter,2011,Sep,0,Wed,1,Misty/Cloudy,480,3427,3907,Working Day
2011-09-29,Winter,2011,Sep,0,Thu,1,Clear/Partly Cloudy,653,4186,4839,Working Day
2011-09-30,Winter,2011,Sep,0,Fri,1,Clear/Partly Cloudy,830,4372,5202,Working Day
2011-10-01,Winter,2011,Oct,0,Sat,0,Misty/Cloudy,480,1949,2429,Weekend
